# model,cylinder,fuel,transmission,type,Y_test,Y_pred
-1.656760871801065405e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-5.126260251806099566e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.186352207292875827e-01,-1.277343263119469219e+00,3.331012692290019839e+00,-4.015843615378558024e-02,1.354576340825748015e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.390927927179999468e-01,1.104850881459847667e+00,1.461034881564278742e-01,-2.387590455013917368e-02,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
-8.499873950895006081e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.650885061651944263e-01,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.054046939056934473e+00,3.107861666000752976e-01,1.461034881564278742e-01,-2.375788045846858321e+00,1.188601478932491906e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.553390666261757369e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-5.126308858250666622e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.455534305642066539e-01,3.107861666000752976e-01,1.461034881564278742e-01,1.118741677861061712e+00,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.225725268430395198e+00,-3.950491354975003699e-01,1.461034881564278742e-01,-4.015853384674726578e-02,-5.396345741545516272e-01,0.000000000000000000e+00,1.000000000000000000e+00
-4.143439965729792673e-01,3.107861666000752976e-01,1.461034881564278742e-01,3.847716338576235295e-01,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
-1.338781186453353644e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00,1.000000000000000000e+00
-1.440336401358076390e+00,-1.277343263119469219e+00,1.461034881564278742e-01,1.234631773880441319e+00,-9.986972757557976976e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.520454755570203376e-01,1.104850784648597983e+00,-3.038805715977164645e+00,-4.015865374264435128e-02,7.246289662833725886e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.692548420921979074e-02,1.104850881459847667e+00,1.461034881564278742e-01,-4.015854217715437990e-02,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.457365918239163394e-01,3.107861666000752976e-01,1.461034881564278742e-01,-1.792774507682377005e-01,1.188601478932491906e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.701342794804793890e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.234631773880441319e+00,9.455682839671264439e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.674656265158749546e+00,-2.185903099731064669e-01,1.461034881564278742e-01,1.051781435440778179e+00,-1.484763665686528844e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.730654000480045251e+00,1.104850881459847667e+00,3.331012692290019839e+00,-2.507596233784566309e+00,-1.484763665686528844e+00,0.000000000000000000e+00,0.000000000000000000e+00
