# model,cylinder,fuel,transmission,type,Y_train
-1.738358246966328569e+00,1.104850881459847667e+00,1.461034881564278742e-01,-4.015853113305394018e-02,9.455682839671264439e-01,0.000000000000000000e+00
1.346262766494879415e+00,1.104850881459847667e+00,1.461034881564278742e-01,-4.015854496551277825e-02,-9.986972757557976976e-01,0.000000000000000000e+00
-1.618769863059832392e+00,1.104850881459847667e+00,1.461034881564278742e-01,-4.015837471406841219e-02,4.595018940363954085e-01,0.000000000000000000e+00
5.186352207292875827e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-1.484763665686528844e+00,1.000000000000000000e+00
-9.819142630498415292e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00
-1.418506775724351021e+00,-7.479667865462878984e-01,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00
1.323457584281455546e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00
-5.567111202711888529e-01,-1.277343263119469219e+00,1.461034881564278742e-01,1.234631948332172824e+00,-5.126308858250666622e-01,0.000000000000000000e+00
1.165931076477147110e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,4.595018940363954085e-01,1.000000000000000000e+00
-1.472606282729670646e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015843615378558024e-02,-1.484763665686528844e+00,1.000000000000000000e+00
5.622944719967385430e-01,-1.277343263119469219e+00,-3.038805715977164645e+00,-2.589737900129940318e+00,7.025350890017609817e-01,1.000000000000000000e+00
-4.143439965729792673e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015843615378558024e-02,9.455682839671264439e-01,0.000000000000000000e+00
4.360622889843260297e-01,3.107861666000752976e-01,1.461034881564278742e-01,1.234630373383309054e+00,-1.484763665686528844e+00,1.000000000000000000e+00
6.220886639499865201e-01,3.107861666000752976e-01,1.461034881564278742e-01,4.079540869129615333e-01,-1.484763665686528844e+00,1.000000000000000000e+00
6.629005727434732487e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015840442057200949e-02,1.188601478932491906e+00,0.000000000000000000e+00
-1.738358246966328569e+00,1.104850881459847667e+00,1.461034881564278742e-01,-4.015853113305394018e-02,9.455682839671264439e-01,0.000000000000000000e+00
-1.053097824898946211e+00,-2.185903099731064669e-01,1.461034881564278742e-01,-2.589738856222238983e+00,1.188601478932491906e+00,0.000000000000000000e+00
-1.714630393016626897e+00,1.104850748344380795e+00,1.461034881564278742e-01,5.814708393139496057e-01,9.455682839671264439e-01,0.000000000000000000e+00
1.552220538778289249e+00,3.107861666000752976e-01,1.461034881564278742e-01,-6.106410684681995438e-01,-1.484763665686528844e+00,1.000000000000000000e+00
1.465824707979665187e-01,-4.832785482596969606e-01,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00
-6.013194856966278534e-01,-1.277343263119469219e+00,1.461034881564278742e-01,3.847716338576235295e-01,7.025350890017609817e-01,1.000000000000000000e+00
-2.472999047670800254e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015851475731850584e-02,5.135092706953653385e-01,0.000000000000000000e+00
8.821459432387160904e-01,-1.100884437595075260e+00,1.461034881564278742e-01,-2.589738762180343823e+00,1.431634673897857590e+00,1.000000000000000000e+00
-9.211709569386054008e-01,-4.832785482596969606e-01,1.461034881564278742e-01,-4.015843615378558024e-02,4.595018940363954085e-01,0.000000000000000000e+00
1.040648007622722693e+00,1.104851004929272351e+00,3.331012692290019839e+00,1.234631773880441319e+00,4.595018940363954085e-01,0.000000000000000000e+00
8.011803731709172052e-03,3.107861666000752976e-01,1.461034881564278742e-01,1.234631773880441319e+00,-1.484763665686528844e+00,0.000000000000000000e+00
-1.641548602851546024e+00,3.107861666000752976e-01,1.461034881564278742e-01,1.234631611058842893e+00,4.595018940363954085e-01,0.000000000000000000e+00
-1.299867505975842885e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-8.900185761766035153e-01,7.025350890017609817e-01,1.000000000000000000e+00
8.011803731709172052e-03,3.107861666000752976e-01,3.331012692290019839e+00,1.234631773880441319e+00,-1.484763665686528844e+00,0.000000000000000000e+00
-8.499873950895006081e-01,-1.277343263119469219e+00,1.461034881564278742e-01,3.847716338576235295e-01,-1.484763665686528844e+00,1.000000000000000000e+00
-6.278946821202936457e-01,3.107861666000752976e-01,1.461034881564278742e-01,4.268984342828608392e-01,1.188601478932491906e+00,0.000000000000000000e+00
-1.206854318493012723e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015840750233089229e-02,7.025350890017609817e-01,1.000000000000000000e+00
-4.665452752623228116e-01,3.107861666000752976e-01,1.461034881564278742e-01,-8.900185761766035153e-01,-1.484763665686528844e+00,0.000000000000000000e+00
1.379481762024461489e+00,3.107861666000752976e-01,1.461034881564278742e-01,-4.015824783250580149e-02,7.025350890017609817e-01,1.000000000000000000e+00
5.006020517275143744e-01,3.107861666000752976e-01,1.461034881564278742e-01,1.234631840720407991e+00,-2.695976908597011446e-01,1.000000000000000000e+00
-1.003743888683567009e+00,-7.479667865462878984e-01,1.461034881564278742e-01,-6.229196488467848569e-01,-1.484763665686528844e+00,0.000000000000000000e+00
-4.143439965729792673e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015843615378558024e-02,9.455682839671264439e-01,0.000000000000000000e+00
5.622944719967385430e-01,-1.277343263119469219e+00,-3.038805715977164645e+00,-2.589737900129940318e+00,7.025350890017609817e-01,1.000000000000000000e+00
-6.022685998546158936e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00
-1.738358246966328569e+00,1.104850881459847667e+00,1.461034881564278742e-01,-1.314948646188012438e+00,4.595018940363954085e-01,0.000000000000000000e+00
1.264638948907905736e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,9.455682839671264439e-01,1.000000000000000000e+00
3.107792201299015566e-01,1.104850881459847667e+00,1.461034881564278742e-01,6.307839280423727102e-01,-7.556640807904322354e-01,1.000000000000000000e+00
-5.320341521634992521e-01,3.107861666000752976e-01,1.461034881564278742e-01,-2.139501332506500209e+00,7.025350890017609817e-01,1.000000000000000000e+00
-8.480891667735245276e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-1.569906688194857791e+00,-1.484763665686528844e+00,1.000000000000000000e+00
1.078612573942245412e+00,1.104850881459847667e+00,1.461034881564278742e-01,1.234631773880441319e+00,9.455682839671264439e-01,0.000000000000000000e+00
9.220087378742147788e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00
-1.692800767382901528e+00,3.107861666000752976e-01,1.461034881564278742e-01,8.526502393674619817e-01,9.455682839671264439e-01,0.000000000000000000e+00
-8.518856234054767995e-01,1.104850881459847667e+00,1.461034881564278742e-01,1.114651401283358600e+00,-7.556640807904322354e-01,0.000000000000000000e+00
-4.665452752623228116e-01,3.107861666000752976e-01,1.461034881564278742e-01,8.097017038690320634e-01,-1.484763665686528844e+00,0.000000000000000000e+00
-1.081571249638588306e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00
1.090951057996090157e+00,1.104850734573815663e+00,-3.038805715977164645e+00,-1.113888071359362186e+00,9.455682839671264439e-01,0.000000000000000000e+00
-8.642241074593215444e-01,1.104850881459847667e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-7.556640807904322354e-01,0.000000000000000000e+00
-1.299867505975842885e+00,-7.479667865462878984e-01,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00
1.194404501216789205e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,-3.484193123997261221e-01,1.000000000000000000e+00
-8.499873950895006081e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-1.739878716199421582e+00,-1.484763665686528844e+00,1.000000000000000000e+00
-9.819142630498415292e-01,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015843615378558024e-02,7.025350890017609817e-01,1.000000000000000000e+00
-1.343526757243293845e+00,-1.277343263119469219e+00,1.461034881564278742e-01,-4.015747189006251688e-02,7.025350890017609817e-01,1.000000000000000000e+00
-1.608329607321963728e+00,3.107861666000752976e-01,1.461034881564278742e-01,-7.924936089949636830e-01,2.164686990710298908e-01,1.000000000000000000e+00
1.736348685427973715e+00,1.104850881459847667e+00,1.461034881564278742e-01,-2.374747204939184453e+00,-1.484763665686528844e+00,0.000000000000000000e+00
